trade_date,code,name,source,source_date
2026-08-28,000725,京东方A,akshare,2026-08-29
2026-08-28,000768,中航西飞,akshare,2026-08-29
2026-08-28,000776,广发证券,akshare,2026-08-29
2026-08-28,000792,盐湖股份,akshare,2026-08-29
2026-08-28,000807,云铝股份,akshare,2026-08-29
2026-08-28,000858,五 粮 液,akshare,2026-08-29
2026-08-28,000895,双汇发展,akshare,2026-08-29
2026-08-28,000938,紫光股份,akshare,2026-08-29
2026-08-28,000963,华东医药,akshare,2026-08-29
2026-08-28,000975,山金国际,akshare,2026-08-29
2026-08-28,000977,浪潮信息,akshare,2026-08-29
2026-08-28,000988,华工科技,akshare,2026-08-29
2026-08-28,000999,华润三九,akshare,2026-08-29
2026-08-28,001280,中国铀业,akshare,2026-08-29
2026-08-28,001391,国货航,akshare,2026-08-29
2026-08-28,001965,招商公路,akshare,2026-08-29
2026-08-28,001979,招商蛇口,akshare,2026-08-29
2026-08-28,002001,新和成,akshare,2026-08-29
2026-08-28,002027,分众传媒,akshare,2026-08-29
2026-08-28,002028,思源电气,akshare,2026-08-29
2026-08-28,002049,紫光国微,akshare,2026-08-29
2026-08-28,002050,三花智控,akshare,2026-08-29
2026-08-28,002074,国轩高科,akshare,2026-08-29
2026-08-28,002142,宁波银行,akshare,2026-08-29
2026-08-28,002179,中航光电,akshare,2026-08-29
2026-08-28,002202,金风科技,akshare,2026-08-29
2026-08-28,002230,科大讯飞,akshare,2026-08-29
2026-08-28,002236,大华股份,akshare,2026-08-29
2026-08-28,002241,歌尔股份,akshare,2026-08-29
2026-08-28,002304,洋河股份,akshare,2026-08-29
2026-08-28,002311,海大集团,akshare,2026-08-29
2026-08-28,002352,顺丰控股,akshare,2026-08-29
2026-08-28,002353,杰瑞股份,akshare,2026-08-29
2026-08-28,002371,北方华创,akshare,2026-08-29
2026-08-28,002384,东山精密,akshare,2026-08-29
2026-08-28,002415,海康威视,akshare,2026-08-29
2026-08-28,002422,科伦药业,akshare,2026-08-29
2026-08-28,002460,赣锋锂业,akshare,2026-08-29
2026-08-28,002463,沪电股份,akshare,2026-08-29
2026-08-28,002466,天齐锂业,akshare,2026-08-29
2026-08-28,002475,立讯精密,akshare,2026-08-29
2026-08-28,002493,荣盛石化,akshare,2026-08-29
2026-08-28,002532,天山铝业,akshare,2026-08-29
2026-08-28,002558,巨人网络,akshare,2026-08-29
2026-08-28,002594,比亚迪,akshare,2026-08-29
2026-08-28,002600,领益智造,akshare,2026-08-29
2026-08-28,002602,世纪华通,akshare,2026-08-29
2026-08-28,002625,光启技术,akshare,2026-08-29
2026-08-28,002648,卫星化学,akshare,2026-08-29
2026-08-28,002709,天赐材料,akshare,2026-08-29
2026-08-28,002714,牧原股份,akshare,2026-08-29
2026-08-28,002736,国信证券,akshare,2026-08-29
2026-08-28,002837,英维克,akshare,2026-08-29
2026-08-28,002916,深南电路,akshare,2026-08-29
2026-08-28,002920,德赛西威,akshare,2026-08-29
2026-08-28,002938,鹏鼎控股,akshare,2026-08-29
2026-08-28,003816,中国广核,akshare,2026-08-29
2026-08-28,300014,亿纬锂能,akshare,2026-08-29
2026-08-28,300015,爱尔眼科,akshare,2026-08-29
